palavra,frequência,tipo,Validação,QE1,QE2,QE3,QE4,QE5,QE6,QE7,QE8,QE9,QE10,QE11,QE12,QE13,QE14,QE15,QE16,QE17,QE18,Column 24,Total
data,193,N,TRUE,0,0,0,0,0,1,0,1,0,1,1,1,0,1,1,1,1,1,,10
site,81,N,TRUE,0,1,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,1,,7
member,79,N,TRUE,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,,7
use,72,V,TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,,3
see,66,V,FALSE,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,2
know,65,V,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
user,61,N,TRUE,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,4
research,56,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,4
access,55,V,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,,9
dataset,50,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,2
get,50,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,4
information,45,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,,3
page,35,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,,3
project,33,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
access,30,N,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,1,,9
create,30,V,TRUE,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,3
item,30,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,5
file,29,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,,6
package,29,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,,2
find,28,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,3
work,27,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
make,26,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
view,25,V,TRUE,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,,4
collection,23,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,3
ensure,23,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
repository,23,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,,4
list,22,N,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
content,21,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,4
time,21,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
profile,20,N,TRUE,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,0,,9
start,20,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
estimate,19,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
give,19,V,TRUE,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,3
publish,19,V,TRUE,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,,4
training,19,N,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
application,18,N,FALSE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,18
article,18,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
search,18,V,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,,3
share,18,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,5
store,18,V,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,,4
version,18,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
course,17,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
download,17,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1,1,,6
keep,17,V,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,3
other,17,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
record,17,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,,5
check,16,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,3
event,16,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
learn,16,V,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
link,16,V,FALSE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,,5
system,16,N,TRUE,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,1,,10
website,16,N,TRUE,0,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,,8
add,15,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,3
read,15,V,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,3
report,15,N,TRUE,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,2
camp,14,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
deposit,14,V,FALSE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,4
group,14,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
request,14,N,TRUE,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,2
researcher,14,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
trainer,14,N,FALSE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2
update,14,V,TRUE,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,,5
change,13,V,TRUE,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,3
include,13,V,FALSE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
metadata,13,N,TRUE,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,,5
post,13,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,,4
session,13,N,TRUE,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,,6
submit,13,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,1,,6
take,13,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
understand,13,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
analysis,12,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
assign,12,V,TRUE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2
maintain,12,V,TRUE,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,,3
plan,12,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
provide,12,V,FALSE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,,3
publication,12,N,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
schedule,12,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
service,12,N,FALSE,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,,6
show,12,V,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
sponsor,12,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
sponsor,12,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
track,12,V,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,,6
upload,12,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,,5
date,11,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
design,11,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
integration,11,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,1
material,11,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
notify,11,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,3
receive,11,V,TRUE,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,,3
relate,11,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
sponsorship,11,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
summit,11,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
visualization,11,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
account,10,N,TRUE,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,,9
activity,10,N,TRUE,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,,2
approve,10,V,TRUE,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,2
associate,10,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
attendee,10,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
camper,10,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
come,10,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
detail,10,N,TRUE,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,,2
library,10,N,TRUE,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,,4
manage,10,V,TRUE,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,,8
publisher,10,N,TRUE,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,,5
register,10,V,TRUE,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,,9
requirement,10,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
save,10,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,,4
story,10,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
become,9,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
class,9,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
compliance,9,N,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
day,9,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
delete,9,V,TRUE,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,,6
determine,9,V,FALSE,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,1
fee,9,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
form,9,N,TRUE,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,,5
go,9,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
home,9,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
image,9,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
integrate,9,V,TRUE,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,3
level,9,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
news,9,N,FALSE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
result,9,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,1
section,9,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
set,9,V,TRUE,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,,6
sign,9,V,TRUE,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,,4
team,9,N,TRUE,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,3
type,9,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
accept,8,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,3
appear,8,V,TRUE,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,1
archive,8,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,3
choose,8,V,TRUE,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,,2
database,8,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,,4
develop,8,V,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
enter,8,V,FALSE,1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,,6
field,8,N,TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,2
game,8,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
name,8,N,TRUE,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,4
prototype,8,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
submission,8,N,TRUE,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,2
validate,8,V,TRUE,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,4
allow,7,V,TRUE,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,,3
author,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
case,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
center,7,N,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1
collect,7,V,TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,2
datapackage,7,N,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
decide,7,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
edit,7,V,TRUE,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,,6
email,7,N,TRUE,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,,11
location,7,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2
one,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
organization,7,N,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
package,7,V,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
parent,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
pipeline,7,N,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,1
re,7,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
registration,7,N,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1
second,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
select,7,V,TRUE,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,,3
support,7,N,FALSE,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,,4
task,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
way,7,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
begin,6,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
charge,6,V,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2
child,6,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
citation,6,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
description,6,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
discover,6,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
estimator,6,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
feature,6,N,TRUE,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,2
follow,6,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
future,6,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
generate,6,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
identify,6,V,TRUE,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,,2
import,6,V,FALSE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,,2
job,6,N,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
load,6,V,TRUE,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,,3
look,6,V,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
